time_s,target_rad_s,now_rad_s,output_A,speed_rpm
5.100000000000000533e+00,2.000000000000000000e+00,1.907999999999999918e+00,3.300000000000000155e-02,1.799999999999999864e-02
5.200000000000000178e+00,2.000000000000000000e+00,2.027000000000000135e+00,2.500000000000000139e-02,1.799999999999999864e-02
5.300000000000000711e+00,2.000000000000000000e+00,2.053999999999999826e+00,2.400000000000000050e-02,1.899999999999999953e-02
5.400000000000000355e+00,2.000000000000000000e+00,1.961999999999999966e+00,2.999999999999999889e-02,1.899999999999999953e-02
5.500000000000000000e+00,2.000000000000000000e+00,1.911999999999999922e+00,3.300000000000000155e-02,1.799999999999999864e-02
5.600000000000000533e+00,2.000000000000000000e+00,1.981999999999999984e+00,2.800000000000000058e-02,1.799999999999999864e-02
5.700000000000000178e+00,2.000000000000000000e+00,2.057999999999999829e+00,2.400000000000000050e-02,1.799999999999999864e-02
5.800000000000000711e+00,2.000000000000000000e+00,2.019000000000000128e+00,2.800000000000000058e-02,1.899999999999999953e-02
5.900000000000000355e+00,2.000000000000000000e+00,1.947999999999999954e+00,3.099999999999999978e-02,1.899999999999999953e-02
6.000000000000000000e+00,-2.000000000000000000e+00,1.991000000000000103e+00,-2.520000000000000018e-01,1.700000000000000122e-02
6.100000000000000533e+00,-2.000000000000000000e+00,-1.697000000000000064e+00,-2.599999999999999881e-02,-1.499999999999999944e-02
6.200000000000000178e+00,-2.000000000000000000e+00,-1.858000000000000096e+00,-2.199999999999999872e-02,-1.799999999999999864e-02
6.300000000000000711e+00,-2.000000000000000000e+00,-1.929999999999999938e+00,-2.199999999999999872e-02,-1.799999999999999864e-02
6.400000000000000355e+00,-2.000000000000000000e+00,-1.816000000000000059e+00,-3.200000000000000067e-02,-1.700000000000000122e-02
6.500000000000000000e+00,-2.000000000000000000e+00,-2.008000000000000007e+00,-2.100000000000000130e-02,-1.799999999999999864e-02
6.600000000000000533e+00,-2.000000000000000000e+00,-2.052999999999999936e+00,-2.000000000000000042e-02,-1.899999999999999953e-02
6.700000000000000178e+00,-2.000000000000000000e+00,-1.971999999999999975e+00,-2.599999999999999881e-02,-1.799999999999999864e-02
6.800000000000000711e+00,-2.000000000000000000e+00,-1.915000000000000036e+00,-2.900000000000000147e-02,-1.700000000000000122e-02
6.900000000000000355e+00,-2.000000000000000000e+00,-1.979000000000000092e+00,-2.500000000000000139e-02,-1.700000000000000122e-02
7.000000000000000000e+00,-2.000000000000000000e+00,-2.035000000000000142e+00,-2.400000000000000050e-02,-1.799999999999999864e-02
7.100000000000000533e+00,-2.000000000000000000e+00,-1.935000000000000053e+00,-3.099999999999999978e-02,-1.799999999999999864e-02
7.200000000000000178e+00,-2.000000000000000000e+00,-1.887000000000000011e+00,-3.400000000000000244e-02,-1.600000000000000033e-02
7.300000000000000711e+00,-2.000000000000000000e+00,-2.027000000000000135e+00,-2.500000000000000139e-02,-1.799999999999999864e-02
7.400000000000000355e+00,-2.000000000000000000e+00,-2.065999999999999837e+00,-2.400000000000000050e-02,-1.899999999999999953e-02
